set	map	span	crit	K
Oryza_nivara_Ma2016	1	0.2	1.68861358046465	3
Oryza_nivara_Ma2016	2	0.2	1.97725337229621	3
Oryza_nivara_Ma2016	3	0.2	0.94719528973486	3
Oryza_nivara_Ma2016	4	0.2	1.04758353325708	3
Oryza_nivara_Ma2016	5	0.3	1.42369159776982	3
Oryza_nivara_Ma2016	6	0.3	1.83661273861489	3
Oryza_nivara_Ma2016	7	0.3	1.65500183875656	3
Oryza_nivara_Ma2016	8	0.3	1.20497537999907	3
Oryza_nivara_Ma2016	9	0.3	1.06786058537061	3
Oryza_nivara_Ma2016	10	0.3	1.2239497352336	3
Oryza_nivara_Ma2016	11	0.3	1.01062205951789	3
Oryza_nivara_Ma2016	12	0.3	1.39599230829162	3
Camelina_sativa_King2019	1	0.5	2.43225319953931	3
Camelina_sativa_King2019	17	0.4	2.6462467994811	3
Camelina_sativa_King2019	16	0.45	4.57806335420827	3
Camelina_sativa_King2019	13	0.4	2.21859881304353	3
Camelina_sativa_King2019	15	0.45	5.4838737388224	3
Camelina_sativa_King2019	19	0.3	8.29650447557434	3
Camelina_sativa_King2019	20	0.5	10.4191493858038	3
Cucurbita_maxima_Wang2020	1	0.2	6.54891233804958	3
Cucurbita_maxima_Wang2020	18	0.2	10.8027801012382	3
Aegilops_speltoides_Zhang2019	2S	NA	17223063.006728	3
Aegilops_speltoides_Zhang2020	7S	NA	Inf	5
Arabidopsis_thaliana_Serin2017	1	0.5	16600470.339965	5
Arachis_duranensis_Bertioli2016	A1	0.3	5.00009653539994	3
Arachis_duranensis_Bertioli2016	A2	0.35	6.24113140749992	3
Arachis_duranensis_Bertioli2016	A3	0.2	13.2147667247406	3
Arachis_duranensis_Bertioli2016	A4	0.35	9.98681807010187	3
Arachis_duranensis_Bertioli2016	A5	0.3	9.20178790667267	3
Arachis_duranensis_Bertioli2016	A7	0.4	4.04939122498454	3
Arachis_duranensis_Bertioli2016	A8	0.4	4.73965743102165	3
Arachis_duranensis_Bertioli2016	A9	0.3	6.74133933688315	3
Arachis_duranensis_Bertioli2016	A10	0.4	4.33145863854533	3
Arachis_hypogaea_Zhuang2019	A01	0.2	0.118564695892408	3
Arachis_hypogaea_Zhuang2019	A02	0.2	0.00530415523647791	3
Arachis_hypogaea_Zhuang2019	A03	0.2	0.00565369882097349	3
Arachis_hypogaea_Zhuang2019	A04	0.2	0.0440872691426899	3
Arachis_hypogaea_Zhuang2019	A05	0.2	0.0100320642502174	3
Arachis_hypogaea_Zhuang2019	A07	0.2	0.030525134840096	3
Arachis_hypogaea_Zhuang2019	A08	0.2	0.00281418219505044	3
Arachis_hypogaea_Zhuang2019	A09	0.2	0.0136859720249024	3
Arachis_hypogaea_Zhuang2019	B01	0.2	0.00999339980410087	3
Arachis_hypogaea_Zhuang2019	B02	0.2	0.0184377989746496	3
Arachis_hypogaea_Zhuang2019	B03	0.2	0.0662590757826237	3
Arachis_hypogaea_Zhuang2019	B04	0.2	0.0364758892702101	3
Arachis_hypogaea_Zhuang2019	B06	0.2	0.0295046120579593	3
Arachis_hypogaea_Zhuang2019	B07	0.2	0.0958167241589467	3
